Link,Conteudo,Classificação,codigo
https://www.jusbrasil.com.br/diarios/1172398577/dou-secao-3-16-03-2022-pg-65," Espécie: Proc. 23072.261677/2021-15 - Contrato de Partilhamento de Titularidade de Tecnologia e outras avenças que entre si celebram a Universidade Federal de Minas Gerais - UFMG - CNPJ nº 17.217.985/0001-04, por meio de sua Coordenadoria de Transferência e Inovação Tecnológica - CTIT, a Companhia de Desenvolvimento de Minas Gerais -CODEMGE - CNPJ nº 29.768.219/0001-17, o Serviço Nacional de Aprendizagem Industrial -SENAI CIMATEC - CNPJ nº 03.795.071/0013/50, e a Ivision Sistemas de Imagem e Visão SA - IVISION - CNPJ nº 05.883.246/0001-72. Objeto: Disciplinar as condições de partilhamento dos direitos de propriedade intelectual relativos à Tecnologia intitulada"" Sistema de Varredura por Sonda ""consubstanciada ao pedido de patente depositado junto ao Instituto Nacional de Propriedade Industrial - INPI sob o número BR 1020210245190, em 03/12/2021. Início da vigência: o termo inicial de vigência do presente contrato será contado da data da assinatura, em 08 de março de 2022, e o termo final corresponderá ao término de vigência da patente. Nomes e cargos dos signatários: o Prof. Gilberto Medeiros Ribeiro - Diretor da CTIT/UFMG, os Srs. Mateus Ayer Quintela e Eduardo Zimmer Sampaio - representantes legais da CODEMGE, o Sr. Leone Peter Correia da Silva Andrade - Diretor da Tecnologia e Inovação e Reitor do Centro Universitário SENAI CIMATEC, os Srs. Luiz Fernando Etrusco Moreira e Antônio Otávio Fernandes - Representantes legais da IVISION.</p>",Contrato Partilhamento de Titularidade,['BR 102021024519']
https://www.jusbrasil.com.br/diarios/1167652021/dou-secao-3-14-02-2022-pg-91,"Espécie: Proc. 23072.254865/2021-89 - Contrato de Partilhamento de Titularidade de Tecnologia e outras avenças que entre si celebram a Universidade Federal de Minas Gerais - UFMG - CNPJ nº 17.217.985/0001-04, por meio de sua Coordenadoria de Transferência e Inovação Tecnológica - CTIT, e o Instituto Nacional de Metrologia, Qualidade e Tecnologia - INMETRO - CNPJ nº 00.662.270/0003-20. Objeto: Disciplinar as condições de partilhamento dos direitos de propriedade intelectual relativos à Tecnologia intitulada ""Dispositivo metálico para microscopia por varredura por sonda e método de fabricação do mesmo"" consubstanciada ao pedido de patente depositado junto ao Instituto Nacional de Propriedade Industrial - INPI sob o número BR 1020160291267, em 12/12/2016. Início da</p>",Contrato Partilhamento de Titularidade,['BR 102016029126']
https://www.jusbrasil.com.br/diarios/1167652021/dou-secao-3-14-02-2022-pg-91,"Espécie: Proc. 23072.254547/2021-18 - Contrato de Partilhamento de Titularidade de Tecnologia e outras avenças que entre si celebram a Universidade Federal de Minas Gerais - UFMG - CNPJ nº 17.217.985/0001-04, por meio de sua Coordenadoria de Transferência e Inovação Tecnológica - CTIT, e o Instituto Nacional de Metrologia, Qualidade e Tecnologia - INMETRO - CNPJ nº 00.662.270/0003-20. Objeto: Disciplinar as condições de partilhamento dos direitos de propriedade intelectual relativos à Tecnologia intitulada ""Dispositivo metálico para microscopia e espectroscopia óptica de campo próximo e método de fabricação do mesmo"" consubstanciada ao pedido de patente depositado junto ao Instituto Nacional de Propriedade Industrial - INPI sob o número BR 1020150103522, em 06/05/2016. Início da vigência: o termo inicial de vigência do presente contrato será contado da data da assinatura, em 08/02/2022, e o termo final corresponderá ao término de vigência da patente. Nomes e cargos dos signatários: o Prof. Gilberto Medeiros Ribeiro - Diretor da CTIT/UFMG, o Sr. Marcos Heleno Guerson de Oliveira Junior - Presidente do INMETRO.</p>",Contrato Partilhamento de Titularidade,['BR 102015010352']
https://www.jusbrasil.com.br/diarios/1167652021/dou-secao-3-14-02-2022-pg-91,"Espécie: Proc. 23072.254548/2021-62 - Contrato de Partilhamento de Titularidade de Tecnologia e outras avenças que entre si celebram a Universidade Federal de Minas Gerais - UFMG - CNPJ nº 17.217.985/0001-04, por meio de sua Coordenadoria de Transferência e Inovação Tecnológica - CTIT, o Instituto Nacional de Metrologia, Qualidade e Tecnologia -INMETRO - CNPJ nº 00.662.270/0003-20 e a Ivision Sistemas de Imagem e Visão S.A. -CNPJ nº 05.883.246/0001-72. Objeto: Disciplinar as condições de partilhamento dos direitos de propriedade intelectual relativos à Tecnologia intitulada ""Método de posicionamento automático para montagem de sondas para varredura e espectroscopia óptica in situ e dispositivo"" consubstanciada ao pedido de patente depositado junto ao Instituto Nacional de Propriedade Industrial - INPI sob o número BR 1020170079171, em 17/04/2017. Início da vigência: o termo inicial de vigência do presente contrato será contado da data da assinatura, em 08/02/2022, e o termo final corresponderá ao término de vigência da patente. Nomes e cargos dos signatários: o Prof. Gilberto Medeiros Ribeiro - Diretor da CTIT/UFMG, o Sr. Marcos Heleno Guerson de Oliveira Junior - Presidente do INMETRO, os Srs. Luiz Fernando Etrusco Moreira e Antônio Otávio Fernandes -Representantes legais da Ivision Sistemas de Imagem e Visão S.A.</p>",Contrato Partilhamento de Titularidade,['BR 102017007917']
https://www.jusbrasil.com.br/diarios/1123472768/dou-secao-3-27-04-2021-pg-86," Espécie: Proc. 23072.212785/2021-56 - Contrato de Partilhamento de Titularidade de Tecnologia e outras avenças que entre si celebram a Universidade Federal de Minas Gerais - UFMG - CNPJ nº 17.217.985/0001-04, por meio de sua Coordenadoria de Transferência e Inovação Tecnológica - CTIT, e a Odonto Tech Pesquisa E Inovação Ltda. - ODONTO TECH - CNPJ nº 34.711.535/0001-92. Objeto: Disciplinar as condições de partilhamento dos direitos de propriedade intelectual relativos à Tecnologia intitulada ""Gel clareador dental compreendendo compostos de nióbio modificados, processo e uso"" consubstanciada no pedido de patente depositado junto ao Instituto Nacional de Propriedade Industrial - INPI sob o número BR 1020200153676 em 28/07/2020. Início da vigência: a partir da data da assinatura, em 23 de abril de 2021 e o termo final corresponderá ao término da vigência da patente. Nomes e cargos dos signatários: Prof. Gilberto Medeiros Ribeiro - Diretor da CTIT/UFMG, a Sra. Poliana Monique Tamietti e o Alessandro Bruno Antunes Carvalho Tamietti - representantes legais da ODONTO TECH.</p>",Contrato Partilhamento de Titularidade,['BR 102020015367']
https://www.jusbrasil.com.br/diarios/1123472768/dou-secao-3-27-04-2021-pg-86," Espécie: Proc. 23072.212827/2021-59 - Contrato de Partilhamento de Titularidade de Tecnologia e outras avenças que entre si celebram a Universidade Federal de Minas Gerais - UFMG - CNPJ nº 17.217.985/0001-04, por meio de sua Coordenadoria de Transferência e Inovação Tecnológica - CTIT, e a Odonto Tech Pesquisa E Inovação Ltda.- ODONTO TECH -CNPJ nº 34.711.535/0001-92. Objeto: Disciplinar as condições de partilhamento dos direitos de propriedade intelectual relativos à Tecnologia intitulada ""Material Híbrido Nanoestruturado a base de Oligômeros de Nióbio, processo de obtenção e uso"" consubstanciada no pedido de patente depositado junto ao Instituto Nacional de Propriedade Industrial - INPI sob o número BR 1020200163620 em 11/08/2020. Início da</p>",Contrato Partilhamento de Titularidade,['BR 102020016362']
https://www.jusbrasil.com.br/diarios/1106915567/dou-secao-3-29-12-2020-pg-102," Espécie: Proc. 23072.001959/2019-32 - Contrato de Partilhamento de Titularidade de Tecnologia e outras avenças nº 01/2020 que entre si celebram a Universidade Federal de Minas Gerais - UFMG - CNPJ nº 17.217.985/0001-04, por meio de sua Coordenadoria de Transferência e Inovação Tecnológica - CTIT, a Fundação Centro de Hematologia e Hemoterapia do Estado de Minas Gerais - HEMOMINAS - CNPJ nº 26.388.330/0001-90 e a Fundação de Amparo à Pesquisa do Estado de Minas Gerais - FAPEMIG - CNPJ nº 21.949.888/0001-83. Objeto: Disciplinar as condições de partilhamento dos direitos de propriedade intelectual relativos à Tecnologia intitulada ""Proteína Recombinante Quimérica, Método e Kit para Diagnóstico da Infecção causada por HTLV-1 e/ou HTLV-2, e usos"" consubstanciada no pedido de patente depositado junto ao Instituto Nacional de Propriedade Industrial - INPI sob o número BR 10 2018 012370 0 em 18/06/2018. Início da</p>",Contrato Partilhamento de Titularidade,['BR 10 2018 012370 0']
https://www.jusbrasil.com.br/diarios/1178338385/dou-secao-3-25-04-2022-pg-90," Espécie: Proc. 23072.211982/2022-39 - Contrato de Partilhamento de Titularidade de Tecnologia e outras avenças que entre si celebram a Universidade Federal de Minas Gerais - UFMG - CNPJ nº 17.217.985/0001-04, por meio de sua Coordenadoria de Transferência e Inovação Tecnológica - CTIT, e a Odonto Tech Pesquisa E Inovação Ltda.- ODONTO TECH -CNPJ nº 34.711.535/0001-92. Objeto: Disciplinar as condições de partilhamento dos direitos de propriedade intelectual relativos à Tecnologia intitulada ""Material híbrido nanoestruturado à base de oligômeros de nióbio, processo de obtenção e seu uso como fungicida e biomarcador"" consubstanciada no certificado de adição depositado junto ao Instituto Nacional de Propriedade Industrial - INPI sob o número BR 1320210199287 em 04/10/2021. Início da vigência: a partir da data da assinatura, em 18 de abril de 2022 e o termo final corresponderá ao término da vigência da patente. Nomes e cargos dos signatários: Prof. Gilberto Medeiros Ribeiro - Diretor da CTIT/UFMG, a Sra. Poliana Monique Tamietti e o Alessandro Bruno Antunes Carvalho - representantes legais da ODONTO TECH.</p>",Contrato Partilhamento de Titularidade,['BR 132021019928']
https://www.jusbrasil.com.br/diarios/243893512/dou-secao-3-28-05-2019-pg-65," Espécie: Proc. 23072.052718/2018-71 - Contrato de Partilhamento de Titularidade de Tecnologia e outras avenças nº 03/2019 que entre si celebram a Universidade Federal de Minas Gerais - UFMG - CNPJ nº 17.217.985/0001-04, por meio de sua Coordenadoria de Transferência e Inovação Tecnológica - CTIT, e a Ivision Sistemas de Imagem e Visão S.A. - CNPJ nº 05.883.246/0001-72. Objeto: Disciplinar as condições de partilhamento dos direitos de propriedade intelectual relativos à Tecnologia intitulada ""Método para geração de representações vetoriais de movimento baseado em visão computacional e uso"" consubstanciada no pedido de patente depositado junto ao Instituto Nacional de Propriedade Industrial - INPI sob o número BR 10 2016 0152267 em 28/06/2016, tendo sua proteção estendida pelo PCT/IB2017/053738, depositada em 22/06/2017. Início da</p>",Contrato Partilhamento de Titularidade,['BR 10 2016 0152267']
https://www.jusbrasil.com.br/diarios/1139364119/dou-secao-3-03-08-2021-pg-79," Espécie: Proc. 23072.214256/2021-97 - Contrato de Partilhamento de Titularidade de Tecnologia e outras avenças que entre si celebram a Universidade Federal de Minas Gerais - UFMG - CNPJ nº 17.217.985/0001-04, por meio de sua Coordenadoria de Transferência e Inovação Tecnológica - CTIT, e a Ivision Sistemas de Imagem e Visão S.A. - CNPJ nº 05.883.246/0001-72. Objeto: Disciplinar as condições de partilhamento dos direitos de propriedade intelectual relativos à Tecnologia intitulada ""Método e equipamento de posicionamento automático para microscopia por varredura de sonda e espectroscopia óptica in situ"" consubstanciada ao pedido de patente depositado junto ao Instituto Nacional de Propriedade Industrial - INPI sob o número BR 1020150112335, 15/05/2015. Início da vigência: o termo inicial de vigência do presente contrato será contado da data da assinatura, em 23 de julho de 2021, e o termo final corresponderá ao término de vigência da patente. Nomes e cargos dos signatários: o Prof. Gilberto Medeiros Ribeiro - Diretor da CTIT/UFMG, o Sr. Luiz Fernando Etrusco Moreira - Representante legal da Ivision Sistemas de Imagem e Visão S.A.</p>",Contrato Partilhamento de Titularidade,['BR 102015011233']
